year,district,crop,season,price
2022,Adilabad,Wheat,Kharif,1673
2022,Adilabad,Wheat,Rabi,2105
2023,Adilabad,Wheat,Kharif,1954
2023,Adilabad,Wheat,Rabi,1818
2024,Adilabad,Wheat,Kharif,1954
2024,Adilabad,Wheat,Rabi,2368
2013,Hyderabad,Banana,Kharif,1020
2013,Hyderabad,Banana,Whole Year,100
2014,Hyderabad,Banana,Kharif,1020
2014,Hyderabad,Banana,Whole Year,100
2015,Hyderabad,Banana,Kharif,1020
2015,Hyderabad,Banana,Whole Year,100
2016,Hyderabad,Banana,Kharif,1020
2016,Hyderabad,Banana,Whole Year,100
2017,Hyderabad,Banana,Kharif,1020
2017,Hyderabad,Banana,Whole Year,1771
2018,Hyderabad,Banana,Kharif,1020
2018,Hyderabad,Banana,Whole Year,1020
2019,Hyderabad,Banana,Kharif,1051
2019,Hyderabad,Banana,Whole Year,1052
2020,Hyderabad,Banana,Kharif,1051
2020,Hyderabad,Banana,Whole Year,1052
2021,Hyderabad,Banana,Kharif,1051
2021,Hyderabad,Banana,Whole Year,1052
2022,Hyderabad,Banana,Kharif,1051
2022,Hyderabad,Banana,Whole Year,1052
2023,Hyderabad,Banana,Kharif,1051
2023,Hyderabad,Banana,Whole Year,1052
2024,Hyderabad,Banana,Kharif,1051
2024,Hyderabad,Banana,Whole Year,1052
2013,Hyderabad,Coriander,Kharif,6200
2013,Hyderabad,Coriander,Rabi,5750
2013,Hyderabad,Coriander,Whole Year,5992
2014,Hyderabad,Coriander,Kharif,6375
2014,Hyderabad,Coriander,Rabi,5900
2014,Hyderabad,Coriander,Whole Year,6607
2015,Hyderabad,Coriander,Kharif,7864
2015,Hyderabad,Coriander,Rabi,6067
2015,Hyderabad,Coriander,Whole Year,7087
2016,Hyderabad,Coriander,Kharif,8350
2016,Hyderabad,Coriander,Rabi,8333
2016,Hyderabad,Coriander,Whole Year,8362
2017,Hyderabad,Coriander,Kharif,7667
2017,Hyderabad,Coriander,Rabi,7500
2017,Hyderabad,Coriander,Whole Year,7143
2018,Hyderabad,Coriander,Kharif,6750
2018,Hyderabad,Coriander,Rabi,7200
2018,Hyderabad,Coriander,Whole Year,7125
2019,Hyderabad,Coriander,Kharif,6750
2019,Hyderabad,Coriander,Rabi,7200
2019,Hyderabad,Coriander,Whole Year,7125
2020,Hyderabad,Coriander,Kharif,6750
2020,Hyderabad,Coriander,Rabi,7200
2020,Hyderabad,Coriander,Whole Year,7125
2021,Hyderabad,Coriander,Kharif,6750
2021,Hyderabad,Coriander,Rabi,7200
2021,Hyderabad,Coriander,Whole Year,7125
2022,Hyderabad,Coriander,Kharif,6750
2022,Hyderabad,Coriander,Rabi,7200
2022,Hyderabad,Coriander,Whole Year,7125
2023,Hyderabad,Coriander,Kharif,6750
2023,Hyderabad,Coriander,Rabi,7200
2023,Hyderabad,Coriander,Whole Year,7125
2024,Hyderabad,Coriander,Kharif,6750
2024,Hyderabad,Coriander,Rabi,7200
2024,Hyderabad,Coriander,Whole Year,7125
2013,Hyderabad,Dry chillies,Kharif,3571
2013,Hyderabad,Dry chillies,Rabi,4044
2014,Hyderabad,Dry chillies,Kharif,5034
2014,Hyderabad,Dry chillies,Rabi,3876
2015,Hyderabad,Dry chillies,Kharif,7137
2015,Hyderabad,Dry chillies,Rabi,5040
2016,Hyderabad,Dry chillies,Kharif,8196
2016,Hyderabad,Dry chillies,Rabi,7860
2017,Hyderabad,Dry chillies,Kharif,6073
2017,Hyderabad,Dry chillies,Rabi,3194
2018,Hyderabad,Dry chillies,Kharif,6062
2018,Hyderabad,Dry chillies,Rabi,6520
2019,Hyderabad,Dry chillies,Kharif,8956
2019,Hyderabad,Dry chillies,Rabi,5847
2020,Hyderabad,Dry chillies,Kharif,8956
2020,Hyderabad,Dry chillies,Rabi,5847
2021,Hyderabad,Dry chillies,Kharif,8956
2021,Hyderabad,Dry chillies,Rabi,5847
2022,Hyderabad,Dry chillies,Kharif,11005
2022,Hyderabad,Dry chillies,Rabi,8640
2023,Hyderabad,Dry chillies,Kharif,12679
2023,Hyderabad,Dry chillies,Rabi,13327
2024,Hyderabad,Dry chillies,Kharif,12679
2024,Hyderabad,Dry chillies,Rabi,11557
2013,Hyderabad,Garlic,Kharif,4500
2013,Hyderabad,Garlic,Rabi,4500
2014,Hyderabad,Garlic,Kharif,5941
2014,Hyderabad,Garlic,Rabi,5309
2015,Hyderabad,Garlic,Kharif,8000
2015,Hyderabad,Garlic,Rabi,6167
2016,Hyderabad,Garlic,Kharif,8000
2016,Hyderabad,Garlic,Rabi,8500
2017,Hyderabad,Garlic,Kharif,5909
2017,Hyderabad,Garlic,Rabi,5827
2018,Hyderabad,Garlic,Kharif,5400
2018,Hyderabad,Garlic,Rabi,4550
2019,Hyderabad,Garlic,Kharif,7333
2019,Hyderabad,Garlic,Rabi,5286
2020,Hyderabad,Garlic,Kharif,7333
2020,Hyderabad,Garlic,Rabi,5286
2021,Hyderabad,Garlic,Kharif,7333
2021,Hyderabad,Garlic,Rabi,5286
2022,Hyderabad,Garlic,Kharif,4512
2022,Hyderabad,Garlic,Rabi,4571
2023,Hyderabad,Garlic,Kharif,13812
2023,Hyderabad,Garlic,Rabi,7833
2024,Hyderabad,Garlic,Kharif,13812
2024,Hyderabad,Garlic,Rabi,12769
2013,Hyderabad,Groundnut,Kharif,1951
2013,Hyderabad,Groundnut,Rabi,1946
2014,Hyderabad,Groundnut,Kharif,1712
2014,Hyderabad,Groundnut,Rabi,1605
2015,Hyderabad,Groundnut,Kharif,2572
2015,Hyderabad,Groundnut,Rabi,2045
2016,Hyderabad,Groundnut,Kharif,2700
2016,Hyderabad,Groundnut,Rabi,2719
2017,Hyderabad,Groundnut,Kharif,2700
2017,Hyderabad,Groundnut,Rabi,2719
2018,Hyderabad,Groundnut,Kharif,2700
2018,Hyderabad,Groundnut,Rabi,2719
2019,Hyderabad,Groundnut,Kharif,2700
2019,Hyderabad,Groundnut,Rabi,2719
2020,Hyderabad,Groundnut,Kharif,2700
2020,Hyderabad,Groundnut,Rabi,2719
2021,Hyderabad,Groundnut,Kharif,2700
2021,Hyderabad,Groundnut,Rabi,2719
2022,Hyderabad,Groundnut,Kharif,2700
2022,Hyderabad,Groundnut,Rabi,2719
2023,Hyderabad,Groundnut,Kharif,2700
2023,Hyderabad,Groundnut,Rabi,2719
2024,Hyderabad,Groundnut,Kharif,2700
2024,Hyderabad,Groundnut,Rabi,2719
2013,Hyderabad,Maize,Kharif,900
