district,crop,season,yield
Bhadradri,Sugarcane,Kharif,80.51
Bhadradri,Sunflower,Rabi,2.04
Bhadradri,Sweet potato,Rabi,9.45
Bhadradri,Sesamum,Kharif,0.31
Bhadradri,Small millets,Kharif,1.26
Bhadradri,Soyabean,Kharif,1.34
Bhadradri,Tobacco,Kharif,3.0
Bhadradri,Turmeric,Kharif,6.87
Bhadradri,Tobacco,Rabi,2.64
Bhadradri,Turmeric,Rabi,6.77
Bhadradri,Urad,Rabi,1.38
Bhadradri,Wheat,Rabi,2.0
Bhadradri,Urad,Kharif,1.42
Jagitial,Arhar/Tur,Kharif,1.16
Jagitial,Arhar/Tur,Rabi,1.4
Jagitial,Bajra,Rabi,1.93
Jagitial,Banana,Kharif,49.73
Jagitial,Castor seed,Kharif,1.0
Jagitial,Coriander,Rabi,1.0
Jagitial,Cowpea(Lobia),Rabi,1.43
Jagitial,Dry chillies,Rabi,5.1
Jagitial,Garlic,Rabi,3.52
Jagitial,Ginger,Kharif,9.5
Jagitial,Cowpea(Lobia),Kharif,0.59
Jagitial,Dry chillies,Kharif,2.15
Jagitial,Gram,Rabi,1.69
Jagitial,Groundnut,Rabi,1.58
Jagitial,Horse-gram,Rabi,0.71
Jagitial,Jowar,Rabi,1.94
Jagitial,Maize,Rabi,6.5
Jagitial,Groundnut,Kharif,2.2
Jagitial,Horse-gram,Kharif,1.0
Jagitial,Jowar,Kharif,0.88
Jagitial,Maize,Kharif,5.55
Jagitial,Moong(Green Gram),Rabi,0.97
Jagitial,Onion,Rabi,30.11
Jagitial,Potato,Rabi,24.0
Jagitial,Rice,Rabi,3.91
Jagitial,Safflower,Rabi,1.0
Jagitial,Sesamum,Rabi,0.71
Jagitial,Soyabean,Rabi,2.0
Jagitial,Sugarcane,Kharif,69.78
Jagitial,Sunflower,Rabi,2.74
Jagitial,Sweet potato,Kharif,12.0
Jagitial,Moong(Green Gram),Kharif,0.69
Jagitial,Onion,Kharif,17.86
Jagitial,Rice,Kharif,3.62
Jagitial,Soyabean,Kharif,1.66
Jagitial,Turmeric,Kharif,10.19
Jagitial,Urad,Kharif,0.88
Jangoan,Arhar/Tur,Kharif,0.78
Jagitial,Urad,Rabi,1.03
Jagitial,Wheat,Rabi,2.01
Jangoan,Arhar/Tur,Rabi,0.82
Jangoan,Bajra,Kharif,1.0
Jangoan,Banana,Kharif,48.28
Jangoan,Castor seed,Rabi,1.42
Jangoan,Coriander,Rabi,0.84
Jangoan,Cowpea(Lobia),Rabi,0.91
Jangoan,Dry chillies,Rabi,4.33
Jangoan,Ginger,Rabi,9.17
Jangoan,Gram,Rabi,1.13
Jangoan,Castor seed,Kharif,0.84
Jangoan,Coriander,Kharif,1.0
Jangoan,Cowpea(Lobia),Kharif,0.85
Jangoan,Dry chillies,Kharif,5.24
Jangoan,Ginger,Kharif,6.6
Jangoan,Gram,Kharif,1.0
Jangoan,Groundnut,Kharif,2.68
Jangoan,Horse-gram,Kharif,1.09
Jangoan,Groundnut,Rabi,1.63
Jangoan,Horse-gram,Rabi,1.1
Jangoan,Jowar,Kharif,0.93
Jangoan,Maize,Kharif,5.0
