year,district,crop,season,yield
2024,Karimnagar,Turmeric,Kharif,6.79
2024,Karimnagar,Turmeric,Rabi,7.0
2024,Karimnagar,Urad,Kharif,0.74
2024,Karimnagar,Urad,Rabi,2.0
2024,Karimnagar,Wheat,Rabi,2.0
2024,Khammam,Arhar/Tur,Kharif,0.59
2024,Khammam,Arhar/Tur,Rabi,0.84
2024,Khammam,Bajra,Kharif,1.0
2024,Khammam,Bajra,Rabi,1.0
2024,Khammam,Banana,Kharif,49.74
2024,Khammam,Banana,Whole Year,31.14
2024,Khammam,Cashewnut,Kharif,0.49
2024,Khammam,Castor seed,Kharif,0.5
2024,Khammam,Castor seed,Rabi,1.67
2024,Khammam,Cowpea(Lobia),Kharif,0.67
2024,Khammam,Cowpea(Lobia),Rabi,1.12
2024,Khammam,Dry chillies,Kharif,5.28
2024,Khammam,Dry chillies,Rabi,3.91
2024,Khammam,Ginger,Kharif,9.2
2024,Khammam,Ginger,Rabi,8.03
2024,Khammam,Gram,Kharif,1.4
2024,Khammam,Gram,Rabi,1.28
2024,Khammam,Groundnut,Kharif,1.99
2024,Khammam,Groundnut,Rabi,2.12
2024,Khammam,Horse-gram,Kharif,1.5
2024,Khammam,Horse-gram,Rabi,1.45
2024,Khammam,Jowar,Kharif,0.93
2024,Khammam,Jowar,Rabi,1.69
2024,Khammam,Maize,Kharif,4.45
2024,Khammam,Maize,Rabi,7.57
2024,Khammam,Moong(Green Gram),Kharif,0.41
2024,Khammam,Moong(Green Gram),Rabi,0.84
2024,Khammam,Oilseeds total,Kharif,18.89
2024,Khammam,Oilseeds total,Rabi,2.57
2024,Khammam,Onion,Kharif,14.88
2024,Khammam,Onion,Rabi,30.07
2024,Khammam,Ragi,Kharif,1.5
2024,Khammam,Rapeseed &Mustard,Rabi,1.0
2024,Khammam,Rice,Kharif,3.2
2024,Khammam,Rice,Rabi,3.38
2024,Khammam,Safflower,Rabi,1.0
2024,Khammam,Sesamum,Kharif,0.23
2024,Khammam,Sesamum,Rabi,0.46
2024,Khammam,Small millets,Kharif,1.1
2024,Khammam,Small millets,Rabi,1.52
2024,Khammam,Soyabean,Kharif,1.4
2024,Khammam,Soyabean,Rabi,1.2
2024,Khammam,Sugarcane,Kharif,85.65
2024,Khammam,Sunflower,Rabi,1.83
2024,Khammam,Sweet potato,Kharif,7.5
2024,Khammam,Sweet potato,Rabi,10.69
2024,Khammam,Tobacco,Kharif,2.52
2024,Khammam,Tobacco,Rabi,3.74
2024,Khammam,Turmeric,Kharif,6.13
2024,Khammam,Urad,Kharif,0.71
2024,Khammam,Urad,Rabi,1.16
2024,Khammam,other oilseeds,Kharif,19.97
2024,Komaram bheem asifabad,Arhar/Tur,Kharif,1.06
2024,Komaram bheem asifabad,Arhar/Tur,Rabi,0.96
2024,Komaram bheem asifabad,Bajra,Kharif,1.44
2024,Komaram bheem asifabad,Banana,Kharif,49.7
2024,Komaram bheem asifabad,Cashewnut,Kharif,0.45
2024,Komaram bheem asifabad,Castor seed,Kharif,0.87
2024,Komaram bheem asifabad,Coriander,Kharif,1.0
2024,Komaram bheem asifabad,Coriander,Rabi,0.82
2024,Komaram bheem asifabad,Cowpea(Lobia),Kharif,0.72
2024,Komaram bheem asifabad,Cowpea(Lobia),Rabi,0.98
2024,Komaram bheem asifabad,Dry chillies,Kharif,4.46
2024,Komaram bheem asifabad,Dry chillies,Rabi,5.72
2024,Komaram bheem asifabad,Gram,Rabi,1.34
2024,Komaram bheem asifabad,Groundnut,Kharif,2.12
2024,Komaram bheem asifabad,Groundnut,Rabi,2.26
2024,Komaram bheem asifabad,Horse-gram,Kharif,1.27
2024,Komaram bheem asifabad,Horse-gram,Rabi,0.6
2024,Komaram bheem asifabad,Jowar,Kharif,0.65
2024,Komaram bheem asifabad,Jowar,Rabi,0.89
2024,Komaram bheem asifabad,Maize,Kharif,3.08
2024,Komaram bheem asifabad,Maize,Rabi,5.78
2024,Komaram bheem asifabad,Moong(Green Gram),Kharif,0.53
2024,Komaram bheem asifabad,Moong(Green Gram),Rabi,1.11
2024,Komaram bheem asifabad,Onion,Kharif,17.8
2024,Komaram bheem asifabad,Onion,Rabi,30.11
2024,Komaram bheem asifabad,Potato,Rabi,21.0
2024,Komaram bheem asifabad,Ragi,Kharif,1.29
2024,Komaram bheem asifabad,Ragi,Rabi,1.75
2024,Komaram bheem asifabad,Rice,Kharif,2.31
2024,Komaram bheem asifabad,Rice,Rabi,3.0
2024,Komaram bheem asifabad,Safflower,Rabi,0.94
2024,Komaram bheem asifabad,Sesamum,Kharif,0.21
2024,Komaram bheem asifabad,Sesamum,Rabi,0.65
2024,Komaram bheem asifabad,Small millets,Kharif,1.38
2024,Komaram bheem asifabad,Small millets,Rabi,1.0
2024,Komaram bheem asifabad,Soyabean,Kharif,1.26
2024,Komaram bheem asifabad,Soyabean,Rabi,1.25
2024,Komaram bheem asifabad,Sugarcane,Kharif,93.12
2024,Komaram bheem asifabad,Sunflower,Kharif,0.8
2024,Komaram bheem asifabad,Sunflower,Rabi,1.98
2024,Komaram bheem asifabad,Sweet potato,Kharif,16.0
2024,Komaram bheem asifabad,Sweet potato,Rabi,11.64
2024,Komaram bheem asifabad,Turmeric,Kharif,6.03
2024,Komaram bheem asifabad,Turmeric,Rabi,7.67
2024,Komaram bheem asifabad,Urad,Kharif,0.66
2024,Komaram bheem asifabad,Urad,Rabi,1.34
2024,Komaram bheem asifabad,Wheat,Rabi,1.83
2024,Mahabubabad,Arhar/Tur,Kharif,0.75
2024,Mahabubabad,Arhar/Tur,Rabi,0.88
2024,Mahabubabad,Bajra,Rabi,2.29
2024,Mahabubabad,Banana,Kharif,49.73
2024,Mahabubabad,Castor seed,Kharif,0.5
2024,Mahabubabad,Cowpea(Lobia),Kharif,0.75
2024,Mahabubabad,Cowpea(Lobia),Rabi,0.83
2024,Mahabubabad,Dry chillies,Kharif,3.33
2024,Mahabubabad,Dry chillies,Rabi,5.57
2024,Mahabubabad,Ginger,Kharif,9.0
2024,Mahabubabad,Gram,Rabi,1.41
2024,Mahabubabad,Groundnut,Kharif,2.69
2024,Mahabubabad,Groundnut,Rabi,1.68
2024,Mahabubabad,Horse-gram,Rabi,1.17
2024,Mahabubabad,Jowar,Kharif,0.84
2024,Mahabubabad,Jowar,Rabi,0.98
2024,Mahabubabad,Maize,Kharif,4.59
2024,Mahabubabad,Maize,Rabi,6.29
2024,Mahabubabad,Moong(Green Gram),Kharif,0.51
2024,Mahabubabad,Moong(Green Gram),Rabi,0.87
2024,Mahabubabad,Onion,Kharif,17.8
2024,Mahabubabad,Onion,Rabi,30.11
2024,Mahabubabad,Ragi,Kharif,1.6
2024,Mahabubabad,Rice,Kharif,2.91
2024,Mahabubabad,Rice,Rabi,3.25
2024,Mahabubabad,Safflower,Rabi,1.0
2024,Mahabubabad,Sesamum,Kharif,0.21
2024,Mahabubabad,Sesamum,Rabi,0.69
2024,Mahabubabad,Small millets,Rabi,0.5
2024,Mahabubabad,Soyabean,Kharif,1.51
2024,Mahabubabad,Sugarcane,Kharif,80.94
2024,Mahabubabad,Sunflower,Kharif,1.5
2024,Mahabubabad,Sunflower,Rabi,2.03
2024,Mahabubabad,Sweet potato,Kharif,9.49
2024,Mahabubabad,Sweet potato,Rabi,9.35
2024,Mahabubabad,Tobacco,Kharif,1.2
2024,Mahabubabad,Tobacco,Rabi,3.24
2024,Mahabubabad,Turmeric,Kharif,6.26
2024,Mahabubabad,Turmeric,Rabi,5.0
2024,Mahabubabad,Urad,Kharif,0.8
2024,Mahabubabad,Urad,Rabi,1.27
2024,Mahabubabad,Wheat,Rabi,2.0
2024,Mahbubnagar,Arhar/Tur,Kharif,0.56
2024,Mahbubnagar,Arhar/Tur,Rabi,0.49
2024,Mahbubnagar,Bajra,Kharif,1.08
2024,Mahbubnagar,Banana,Kharif,56.54
2024,Mahbubnagar,Castor seed,Kharif,0.64
2024,Mahbubnagar,Castor seed,Rabi,0.76
2024,Mahbubnagar,Coriander,Rabi,1.0
2024,Mahbubnagar,Cowpea(Lobia),Kharif,0.64
2024,Mahbubnagar,Cowpea(Lobia),Rabi,1.7
2024,Mahbubnagar,Dry chillies,Kharif,3.79
2024,Mahbubnagar,Dry chillies,Rabi,4.4
2024,Mahbubnagar,Garlic,Rabi,4.0
2024,Mahbubnagar,Ginger,Kharif,8.0
2024,Mahbubnagar,Gram,Rabi,1.09
2024,Mahbubnagar,Groundnut,Kharif,2.09
2024,Mahbubnagar,Groundnut,Rabi,2.29
2024,Mahbubnagar,Horse-gram,Kharif,0.94
2024,Mahbubnagar,Horse-gram,Rabi,1.07
2024,Mahbubnagar,Jowar,Kharif,0.91
2024,Mahbubnagar,Jowar,Rabi,1.75
